Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1",".1uF","C_0603_1608Metric",144.005000,-112.268000,0.000000,top
"C2","10uF","C_0603_1608Metric",144.005000,-110.236000,0.000000,top
"D1","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",154.178000,-128.905000,0.000000,top
"D2","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",179.489100,-114.300000,60.000000,top
"D3","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",180.500641,-83.603900,120.000000,top
"D4","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.924000,-140.462000,0.000000,top
"D5","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.230000,-120.129100,60.000000,top
"D6","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.865000,-77.470000,120.000000,top
"D7","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.885900,-152.400000,0.000000,top
"D8","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",200.660000,-125.730000,60.000000,top
"D9","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",200.305500,-72.161200,120.000000,top
"D10","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.670000,-163.830000,0.000000,top
"D11","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",210.820000,-130.810000,60.000000,top
"D12","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",210.705700,-65.849500,120.000000,top
"D13","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.670000,-68.580000,0.000000,top
"D14","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.270000,-83.820000,240.000000,top
"D15","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.270000,-113.030000,300.000000,top
"D16","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.860500,-57.150000,0.000000,top
"D17","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.110000,-77.470000,240.000000,top
"D18","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.110000,-119.380000,300.000000,top
"D19","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.670000,-45.720000,0.000000,top
"D20","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.789359,-72.008238,240.000000,top
"D21","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.950000,-125.730000,300.000000,top
"D22","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",153.670000,-33.020000,0.000000,top
"D23","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.790000,-66.040000,240.000000,top
"D24","WS2812C","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.790000,-130.810000,300.000000,top
"D25","1N4001","D_SMA",145.256000,-107.188000,0.000000,top
"J2","USB_B_Micro","USB_Micro-B_Molex-105017-0001",165.379400,-117.703600,30.000000,top
"SW1","SW_DIP_x01","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm",147.485400,-117.195600,0.000000,top
"U1","ATtiny84-20SSU","SOIC-14_3.9x8.7mm_P1.27mm",153.735000,-99.060000,0.000000,top
